!	!	1	#.00	11110000	110	1	!
@	@	1	#.00	11100000	110	1	@
6A	G6A	1	#.0000	11110000	110	1		6A
6B	G6B	1	#.0000	11110000	110	1		6B
6C	G6C	1	#.0000	11110000	110	1		6C
6E	G6E	1	#.0000	11110000	110	1		6E
6J	G6J	1	#.0000	11110000	110	1		6J
6M	G6M	1	0.000000	11110000	110	1		6M
6N	G6N	1	#.0000	11110000	110	1		6N
6S	G6S	1	#.0000	11110000	110	1		6S
AUD/CAD	$AUD-CAD@PFG	1	##.00000	11110000	110	1		AUD/CAD
AUD/CHF	$AUD-CHF@PFG	1	##.00000	11110000	110	1		AUD/CHF
AUD/JPY	$AUD-JPY@PFG	1	##.000	11110000	110	1		AUD/JPY
AUD/NZD	$AUD-NZD@PFG	1	##.00000	11110000	110	1	AUD/NZD
AUD/USD	$AUD-USD@PFG	1	##.00000	11110000	110	1		AUD/USD
CAD/CHF	$CAD-CHF@PFG	1	##.00000	11110000	110	1		CAD/CHF
CAD/JPY	$CAD-JPY@PFG	1	##.000	11110000	110	1		CAD/JPY
CHF/JPY	$CHF-JPY@PFG	1	##.000	11110000	110	1		CHF/JPY
CL	CL3	1	##.00	11110000	110	1		CL
DX	DX	1	###.000	11110000	110	1		DX
E7	E7	1	####.0000	11110000	110	1		E7
EMD	EMD	1	####.00	11110000	110	1		EMD
ER2	ER2	1	###.00	11110000	110	1		ER2
ES	ES	1	####.00	11110000	110	1		ES
EUR/AUD	$EUR-AUD@PFG	1	##.00000	11110000	110	1		EUR/AUD
EUR/CAD	$EUR-CAD@PFG	1	##.00000	11110000	110	1		EUR/CAD
EUR/CHF	$EUR-CHF@PFG	1	##.00000	11110000	110	1		EUR/CHF
EUR/GBP	$EUR-GBP@PFG	1	##.00000	11110000	110	1		EUR/GBP
EUR/JPY	$EUR-JPY@PFG	1	##.000	11110000	110	1		EUR/JPY
EUR/USD	$EUR-USD@PFG	1	##.00000	11110000	110	1		EUR/USD
FDAX	GX	1	####.0	11110000	110	1		FDAX
FESX	EX	1	####.00	11110000	110	1		FESX
FGBL	EBI	1	####.00	11110000	110	1		FGBL
FGBM	EBM	1	####.00	11110000	110	1		FGBM
FGBS	EBS	1	####.00	11110000	110	1		FGBS
GBP/AUD	$GBP-AUD@PFG	1	##.00000	11110000	110	1		GBP/AUD
GBP/CHF	$GBP-CHF@PFG	1	##.00000	11110000	110	1		GBP/CHF
GBP/JPY	$GBP-JPY@PFG	1	##.000	11110000	110	1		GBP/JPY
GBP/NZD	$GBP-NZD@PFG	1	##.00000	11110000	110	1		GBP/NZD
GBP/USD	$GBP-USD@PFG	1	##.00000	11110000	110	1		GBP/USD
GC	GC3	1	###.0	11110000	110	1		GC
GE	GE	1	##.000	11110000	110	1		ED
GF	GF	1	##.000	11110000	110	1		GF
GPB	GPB	1	##.000	11110000	110	1		GPB
HE	HE	1	##.000	11110000	110	1		HE
HG	HG3	1	###.00	11110000	110	1		HG
HO	HO3	1	#.0000	11110000	110	1		HO
ICC	CC	1	#	11110000	110	1		ICC
ICT	CT	1	###.00	11110000	110	1		ICT
IKC	KC	1	###.00	11110000	110	1		IKC
IOJ	JO	1	###.00	11110000	110	1		IOJ
ISB	SB	1	##.00	11110000	110	1		ISB
J7	J7	1	#.0000	11110000	110	1		J7
KE	KW3	8	###.0	11100000	110	1		KE
LBS	LB3	1	#.00	11110000	110	1		LBS
LE	LE	1	##.000	11110000	110	1		LC
M6A	M6A	1	#.0000	11110000	110	1		M6A
M6B	M6B	1	#.0000	11110000	110	1		M6B
M6C	M6C	1	#.0000	11110000	110	1		M6C
M6E	M6E	1	#.0000	11110000	110	1		M6E
M6J	M6J	1	#.0000	11110000	110	1		M6J
M6S	M6S	1	#.0000	11110000	110	1		M6S
NG	NG3	1	#.000	11110000	110	1		NG
NND	ND3	1	####.00	11110000	110	1		NND
NQ	NQ	1	####.00	11110000	110	1		NQ
NSP	SP3	1	####.00	11110000	110	1		NSP
NZD/JPY	$NZD-JPY@PFG	1	##.000	11110000	110	1		NZD/JPY
NZD/USD	$NZD-USD@PFG	1	##.00000	11110000	110	1		NZD/USD
O:6A	O:G6A	1	#.0000	00100000	110	1	0.001	O:6A
O:6B	O:G6B	1	#.0000	00100000	110	1	0.001	O:6B
O:6C	O:G6C	1	#.0000	00100000	110	1	0.001	O:6C
O:6E	O:G6E	1	#.0000	00100000	110	1	0.001	O:6E
O:6J	O:G6J	1	#.0000	00100000	110	1	0.001	O:6J
O:6S	O:G6S	1	#.0000	00100000	110	1	0.001	O:6S
O:ER2	O:ER2	1	###.00	00100000	110	1	0.001	O:ER2
O:ES	O:ES	1	####.00	00100000	110	1	1	O:ES
O:GE	O:GE	1	##.0000	00100000	110	1	0.01	O:GE
O:HXE	O:HG3	1	###.00	00100000	110	1	1	O:HXE
O:LO	O:CL3	1	##.00	00100000	110	1	0.01	O:LO
O:NQ	O:NQ	1	####.00	00100000	110	1	1	O:NQ
O:OB	O:RB3	1	#.0000	00100000	110	1	0.0001	O:OB
O:OG	O:GC3	1	###.00	00100000	110	1	1	O:GC
O:OH	O:HO3	1	#.0000	00100000	110	1	0.0001	O:OH
O:ON	O:NG3	1	#.000	00100000	110	1	0.001	O:ON
O:SO	O:SI3	100	###.000	00100000	110	1	1	O:SO
O:YM	O:YM	1	#####	00100000	110	1	10	O:YM
O:ZB	O:ZB	64	###.00	00100000	110	1	1	O:ZB
O:ZC	O:ZC	8	#.0	00100000	110	1	1	O:ZC
O:ZF	O:ZF	64	###.000	00100000	110	1	0.1	O:ZF
O:ZG	O:ZG	1	###.00	00100000	110	1	1	O:ZG
O:ZI	O:ZI	1	###.000	00100000	110	1	1	O:ZI
O:ZL	O:ZL	1	###.000	00100000	110	1	0.1	O:ZL
O:ZM	O:ZM	1	###.00	00100000	110	1	1	O:ZM
O:ZN	O:ZN	64	###.000	00100000	110	1	0.1	O:ZN
O:ZS	O:ZS	8	#.0	00100000	110	1	1	O:ZS
O:ZT	O:ZT	64	###.000	00100000	110	1	0.1	O:ZT
O:ZW	O:ZW	8	#.0	00100000	110	1	1	O:ZW
PA	PA3	1	###.00	11110000	110	1		PA
PL	PL3	1	####.0	11110000	110	1		PL
QC	QC	1	###.00	11110000	110	1		QC
QG	QG	1	#.000	11110000	110	1		QG
